"Ensembl ID" "HGNC ID" "DCM Female" "DCM Male" "Donor Female" "Donor Male"
"ENSG00000000003" 7105 1002.69904321284 951.750444840714 960.085398406882 904.375085494826
"ENSG00000000005" 64102 865.718407985339 540.308596451288 91.7240047236651 51.1073566713627
"ENSG00000000419" 8813 9083.12689371143 9239.32304566761 8316.77233578219 8252.14948886014
"ENSG00000000457" 57147 374.493888768202 386.601920313617 438.039846440895 416.399920104524
"ENSG00000000460" 55732 92.1280489794739 95.4340552349499 120.864156668033 117.301345895415
"ENSG00000000938" 2268 513.649445129318 519.181752801365 835.338010091089 848.793163825881
"ENSG00000000971" 3075 3375.61018143834 3973.16308026945 2789.37812767736 2609.0624739938
"ENSG00000001036" 2519 3526.91115435135 3450.81990134005 4303.10440554583 4021.20766702331
"ENSG00000001084" 2729 918.866498636306 912.63864909688 1040.51537371215 1008.82707586057
"ENSG00000001167" 4800 806.066730864497 833.072921057493 919.45406280024 842.377162043478
"ENSG00000001460" 90529 120.673972905154 115.154893148124 116.804879877968 115.517586946501
"ENSG00000001461" 57185 599.695817785934 685.460589471482 789.949208862434 916.573036100894
"ENSG00000001497" 81887 1051.76932199496 1104.72929915854 993.354279793149 949.989192782745
"ENSG00000001561" 22875 1848.25820571106 1889.78842654105 3113.62907384801 3020.812789902
"ENSG00000001617" 6405 591.603655874928 553.437536330158 751.996237493857 807.86934662751
"ENSG00000001626" 1080 2.97127553048623 3.06001367572576 14.4762843446549 13.6381079881898
"ENSG00000001629" 54467 989.151195598422 1051.41959248748 1186.08855874249 1146.45994503712
"ENSG00000001631" 889 1026.29399118772 1067.37455577982 1289.17391411115 1219.9241476104
"ENSG00000002016" 5893 453.16237637494 501.530383504586 445.198630903808 437.077386147438
"ENSG00000002330" 572 3836.84323739886 3434.71738077858 2701.04806719625 3859.61088322239
"ENSG00000002549" 51056 4930.44131105897 4849.10684871939 4806.75235815204 5090.28533358354
"ENSG00000002587" 9957 52.9772431325213 48.2557421252055 72.5825419160008 64.8708355380201
"ENSG00000002726" 26 28.4456478155989 26.3319110540066 24.9164804003878 25.608180223625
"ENSG00000002822" 8379 253.835609079811 240.081313901518 188.833625277903 223.665280339568
"ENSG00000002834" 3927 1953.44655103787 1886.6784356335 1868.53560297623 1899.91158950788
"ENSG00000002919" 29916 1015.10365711526 974.294086744416 1126.13301298927 1126.43373725305
"ENSG00000002933" 55365 1697.25322276427 1421.48074427404 1396.83081202401 1312.23583966826
"ENSG00000003056" 4074 3555.17023574496 3688.73433596922 4440.16552859018 4258.74545310991
"ENSG00000003096" 90293 528.767803605026 568.923939273738 383.091770790209 369.482886822231
"ENSG00000003137" 56603 159.505322534137 147.803840977243 147.738704365106 126.683476524824
"ENSG00000003147" 3382 2373.6674866236 2400.46351405116 2322.52184203097 2345.94835095082
"ENSG00000003249" 79007 142.322387703706 157.093606741003 159.859293197997 267.680062143308
"ENSG00000003393" 57679 1259.53665133726 1322.60580535357 1465.94744325448 1427.28427078954
"ENSG00000003400" 843 411.491674979613 420.94550863106 383.055935789848 423.014585951022
"ENSG00000003402" 8837 3492.35681090711 3652.69254814954 4688.16535532619 4347.62720396401
"ENSG00000003436" 7035 670.762022256662 628.163409498897 1052.83087401593 1007.1852912081
"ENSG00000003509" 55471 2077.92718067233 2043.08581648632 2160.35482849189 2132.13713921066
"ENSG00000003756" 10181 2867.42476024235 3039.44891282712 2670.68617615031 2546.68456295296
"ENSG00000003987" 9108 6.55489963120699 6.38172835354284 10.3468100524007 9.614712910459
"ENSG00000003989" 6542 1622.90581622489 1517.90990982931 2607.96822824501 2061.81612989565
"ENSG00000004059" 381 5923.91946272689 5197.31995575437 4897.10545073676 5303.45157667317
"ENSG00000004139" 23098 326.097282024691 330.229311836362 247.579204108163 235.185167056272
"ENSG00000004142" 26073 14257.8972579751 14061.4335097534 13637.1427336518 14602.2481612602
"ENSG00000004399" 23129 1643.8788303168 1559.37996421225 1474.57983930212 1558.06512242631
"ENSG00000004455" 204 3956.57741897255 3785.03483792631 4118.10744488951 4240.20021024949
"ENSG00000004468" 952 189.769821240722 218.505347917419 534.291362596825 544.940255005343
"ENSG00000004478" 2288 3540.72427106243 3600.11191044947 3694.92482192467 4008.53961924824
"ENSG00000004487" 23028 1705.48129103028 1720.14919163484 1801.31681480081 1754.53229720466
"ENSG00000004534" 10180 3621.44532009986 3840.98385846029 3727.7453206251 3619.4044671924
"ENSG00000004660" 84254 200.410491956373 210.659227319087 171.639220233448 192.939596099027
"ENSG00000004700" 5965 2831.95651208572 2832.13609834765 3066.4106502296 2895.67487810769
"ENSG00000004766" 55610 682.291056206074 699.122907875963 778.339876202504 767.397863263352
"ENSG00000004776" 126393 71575.9047409695 88800.4195761456 46762.572663401 61187.3459716124
"ENSG00000004777" 115703 246.90837808546 256.744725184013 127.436093448887 137.668078200945
"ENSG00000004779" 4706 31833.5004192495 29824.3158082693 28927.6148930997 32369.2374179188
"ENSG00000004799" 5166 41737.233112522 43201.2140431006 85476.8591054983 67775.0759286804
"ENSG00000004809" 85413 9.76724161037526 7.48105352077486 19.4539612742265 19.4130619834437
"ENSG00000004838" 51364 22.0428365077833 22.3770083484484 13.602917331011 16.6049132543294
"ENSG00000004864" 10165 727.125972317876 738.334106519027 1051.61794838547 1021.94064435309
"ENSG00000004866" 93655 910.583288753806 913.393323546104 1238.69038202229 1173.37636741118
"ENSG00000004897" 996 1918.16671891171 1993.89323490585 2478.19165827257 2412.09850981508
"ENSG00000004961" 3052 4706.61976489053 4742.12934229178 5126.06612816548 5242.31960373786
